"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal"
98136,"Pipistrellus pipistrellus","female",51.3563333887281,-0.37251509940608,32.1040404040404,32.1040404040404,99,99,30.5
98136,"Pipistrellus pipistrellus","male",51.3563333887281,-0.37251509940608,31.2928571428571,31.2928571428571,70,70,30.5
98136,"Plecotus auritus","female",51.3563333887281,-0.37251509940608,38.9857142857143,38.9857142857143,7,7,39
98136,"Plecotus auritus","male",51.3563333887281,-0.37251509940608,39.1,39.1,1,1,39
98138,"Pipistrellus pipistrellus","female",51.3901919580386,-0.105760500160861,32.06,32.06,10,10,30.5
98138,"Pipistrellus pipistrellus","male",51.3901919580386,-0.105760500160861,30.725,30.725,8,8,30.5
98139,"Pipistrellus pipistrellus","female",51.4067923615334,0.0277837448943392,31.48,31.48,5,5,30.5
98542,"Myotis mystacinus","female",51.0193690732431,-3.30549964721956,33.8,33.8,1,1,34
98544,"Myotis mystacinus","male",51.0628291476166,-3.04372128906155,34.7,34.7,1,1,34
98545,"Myotis bechsteinii","female",51.0842384853062,-2.91262327818388,41.3,41.3,1,1,43
98546,"Barbastella barbastellus","male",51.1054336348317,-2.78138758199481,39,39,1,1,39
98546,"Eptesicus serotinus","female",51.1054336348317,-2.78138758199481,51.9,51.9,1,1,53
98546,"Myotis bechsteinii","female",51.1054336348317,-2.78138758199481,39.8,39.8,1,1,43
98546,"Myotis bechsteinii","male",51.1054336348317,-2.78138758199481,41.3,41.3,1,1,43
98546,"Myotis mystacinus","female",51.1054336348317,-2.78138758199481,34.78,34.78,5,5,34
98546,"Myotis mystacinus","male",51.1054336348317,-2.78138758199481,34.36,34.36,5,5,34
98546,"Myotis nattereri","female",51.1054336348317,-2.78138758199481,38.2,38.2,1,1,39
98546,"Pipistrellus pipistrellus","female",51.1054336348317,-2.78138758199481,32.35,32.35,2,2,30.5
98546,"Pipistrellus pipistrellus","male",51.1054336348317,-2.78138758199481,31.9,31.9,2,2,30.5
98546,"Plecotus auritus","male",51.1054336348317,-2.78138758199481,39.2,39.2,1,1,39
98550,"Myotis mystacinus","male",51.1880666134202,-2.25509130923696,33.7,33.7,1,1,34
98560,"Myotis nattereri","male",51.3795185572925,-0.93029633715542,39.4,39.4,1,1,39
98560,"Pipistrellus pipistrellus","female",51.3795185572925,-0.93029633715542,32.7,32.7,2,2,30.5
98560,"Pipistrellus pipistrellus","male",51.3795185572925,-0.93029633715542,31.7,31.7,2,2,30.5
98560,"Plecotus auritus","male",51.3795185572925,-0.93029633715542,37.5,37.5,1,1,39
98562,"Myotis nattereri","female",51.4151980306851,-0.663864135775116,38.4,38.4,1,1,39
98562,"Pipistrellus pipistrellus","female",51.4151980306851,-0.663864135775116,31.48,31.48,5,5,30.5
98562,"Pipistrellus pipistrellus","male",51.4151980306851,-0.663864135775116,30.85,30.85,2,2,30.5
98562,"Plecotus auritus","male",51.4151980306851,-0.663864135775116,37,37,1,1,39
98563,"Myotis mystacinus","female",51.4327097331423,-0.530472114811047,34.35,34.35,2,2,34
98563,"Myotis nattereri","male",51.4327097331423,-0.530472114811047,41.8,41.8,1,1,39
98563,"Pipistrellus pipistrellus","female",51.4327097331423,-0.530472114811047,32.35,32.35,8,8,30.5
98563,"Pipistrellus pipistrellus","male",51.4327097331423,-0.530472114811047,31.4285714285714,31.4285714285714,7,7,30.5
98563,"Plecotus auritus","female",51.4327097331423,-0.530472114811047,38.6,38.6,1,1,39
98563,"Plecotus auritus","male",51.4327097331423,-0.530472114811047,39.2,39.2,5,5,39
98564,"Myotis mystacinus","male",51.450002415499,-0.396964536764425,33.7,33.7,2,2,34
98564,"Pipistrellus pipistrellus","female",51.450002415499,-0.396964536764425,31.14,31.14,5,5,30.5
98564,"Pipistrellus pipistrellus","male",51.450002415499,-0.396964536764425,31.95,31.95,2,2,30.5
98565,"Pipistrellus pipistrellus","female",51.4670758330706,-0.263342703053014,32.125,32.125,12,12,30.5
98565,"Pipistrellus pipistrellus","male",51.4670758330706,-0.263342703053014,31.6636363636364,31.6636363636364,11,11,30.5
98565,"Plecotus auritus","male",51.4670758330706,-0.263342703053014,36.9,36.9,1,1,39
98566,"Pipistrellus pipistrellus","female",51.4839297438008,-0.129607922322271,32,32,3,3,30.5
98566,"Pipistrellus pipistrellus","male",51.4839297438008,-0.129607922322271,31.0888888888889,31.0888888888889,9,9,30.5
98567,"Pipistrellus pipistrellus","female",51.5005639083153,0.00423848967427165,31.5,31.5,3,3,30.5
98568,"Pipistrellus pipistrellus","female",51.5169780898943,0.138195210112264,31.9,31.9,2,2,30.5
98568,"Pipistrellus pipistrellus","male",51.5169780898943,0.138195210112264,32.1,32.1,1,1,30.5
98963,"Myotis mystacinus","male",51.0677359210669,-3.59826778795051,34.2,34.2,1,1,34
98969,"Eptesicus serotinus","female",51.1983728799537,-2.81124271458332,52,52,1,1,53
98969,"Myotis mystacinus","female",51.1983728799537,-2.81124271458332,35,35,2,2,34
98969,"Myotis mystacinus","male",51.1983728799537,-2.81124271458332,33.95,33.95,2,2,34
98969,"Myotis nattereri","male",51.1983728799537,-2.81124271458332,38.95,38.95,2,2,39
98969,"Pipistrellus pipistrellus","female",51.1983728799537,-2.81124271458332,32.6,32.6,2,2,30.5
98969,"Plecotus auritus","female",51.1983728799537,-2.81124271458332,38.35,38.35,2,2,39
98969,"Rhinolophus hipposideros","female",51.1983728799537,-2.81124271458332,36.425,36.425,8,8,37
98969,"Rhinolophus hipposideros","male",51.1983728799537,-2.81124271458332,35.1,35.1,3,3,37
98972,"Myotis bechsteinii","female",51.2607948133922,-2.41585901512747,42.5,42.5,1,1,43
98972,"Myotis bechsteinii","male",51.2607948133922,-2.41585901512747,41.4,41.4,1,1,43
98972,"Myotis mystacinus","male",51.2607948133922,-2.41585901512747,32.4,32.4,2,2,34
98973,"Rhinolophus ferrumequinum","female",51.2811710804579,-2.28379507166174,55.75,55.75,10,10,58.4
98973,"Rhinolophus ferrumequinum","male",51.2811710804579,-2.28379507166174,55,55,1,1,58.4
98980,"Myotis nattereri","female",51.4177416819968,-1.35570035865874,38.5,38.5,2,2,39
98980,"Pipistrellus pipistrellus","female",51.4177416819968,-1.35570035865874,32.16875,32.16875,16,16,30.5
