"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal","Tmax","Summer_precipitation","Tmin"
55538,"Pipistrellus kuhlii","female",40.3335770989495,-7.7063918301003,34.3,34.3,1,1,33.8,26.9868896484375,1001.51525878906,2.08974609375002
55538,"Plecotus auritus","male",40.3335770989495,-7.7063918301003,39.4666666666667,39.4666666666667,3,3,39,26.9868896484375,1001.51525878906,2.08974609375002
55539,"Barbastella barbastellus","male",40.3636674945592,-7.60458148350026,38.4,38.4,1,1,39,24.660107421875,946.583740234375,-0.093017578125
55539,"Hypsugo savii","male",40.3636674945592,-7.60458148350026,35.5666666666667,35.5666666666667,3,3,34.5,24.660107421875,946.583740234375,-0.093017578125
55539,"Myotis bechsteinii","male",40.3636674945592,-7.60458148350026,41.2,41.2,1,1,43,24.660107421875,946.583740234375,-0.093017578125
55539,"Myotis escalerai","male",40.3636674945592,-7.60458148350026,38.9588235294118,38.9588235294118,17,17,39.5,24.660107421875,946.583740234375,-0.093017578125
55539,"Pipistrellus pipistrellus","female",40.3636674945592,-7.60458148350026,30.55,30.55,2,2,30.5,24.660107421875,946.583740234375,-0.093017578125
55539,"Pipistrellus pipistrellus","male",40.3636674945592,-7.60458148350026,30.1333333333333,30.1333333333333,3,3,30.5,24.660107421875,946.583740234375,-0.093017578125
55539,"Plecotus auritus","male",40.3636674945592,-7.60458148350026,39.3466666666667,39.3466666666667,15,15,39,24.660107421875,946.583740234375,-0.093017578125
55539,"Rhinolophus hipposideros","male",40.3636674945592,-7.60458148350026,37,37,1,1,37,24.660107421875,946.583740234375,-0.093017578125
55585,"Eptesicus serotinus","female",41.5586069344762,-2.80507256936364,54.72,54.72,1,1,53,28.513720703125,949.835388183594,-0.469018554687466
55585,"Plecotus auritus","female",41.5586069344762,-2.80507256936364,41.51,41.51,5,5,39,28.513720703125,949.835388183594,-0.469018554687466
55595,"Myotis escalerai","female",41.7683126371779,-1.73450339149472,39.5444444444444,39.5444444444444,9,9,39.5,25.24677734375,1144.98071289062,-1.552978515625
55595,"Myotis escalerai","male",41.7683126371779,-1.73450339149472,38.5333333333333,38.5333333333333,6,6,39.5,25.24677734375,1144.98071289062,-1.552978515625
55618,"Hypsugo savii","male",42.1810037793725,0.758471758251592,34.4,34.4,1,1,34.5,27.201904296875,1440.09240722656,-1.747314453125
55618,"Myotis crypticus","female",42.1810037793725,0.758471758251592,41.5,41.5,1,1,39.3,27.201904296875,1440.09240722656,-1.747314453125
55618,"Myotis escalerai","female",42.1810037793725,0.758471758251592,38.9333333333333,38.9333333333333,3,3,39.5,27.201904296875,1440.09240722656,-1.747314453125
55618,"Pipistrellus kuhlii","female",42.1810037793725,0.758471758251592,34.8,34.8,1,1,33.8,27.201904296875,1440.09240722656,-1.747314453125
55618,"Pipistrellus kuhlii","male",42.1810037793725,0.758471758251592,33.8,33.8,1,1,33.8,27.201904296875,1440.09240722656,-1.747314453125
55618,"Pipistrellus pipistrellus","male",42.1810037793725,0.758471758251592,31,31,1,1,30.5,27.201904296875,1440.09240722656,-1.747314453125
55618,"Plecotus austriacus","female",42.1810037793725,0.758471758251592,38,38,1,1,40,27.201904296875,1440.09240722656,-1.747314453125
55618,"Plecotus austriacus","male",42.1810037793725,0.758471758251592,42.1,42.1,1,1,40,27.201904296875,1440.09240722656,-1.747314453125
55619,"Hypsugo savii","male",42.1967240258145,0.867738001763608,34.8,34.8,1,1,34.5,27.2182373046875,1599.21557617188,-1.74699707031249
55619,"Myotis escalerai","female",42.1967240258145,0.867738001763608,41.05,41.05,2,2,39.5,27.2182373046875,1599.21557617188,-1.74699707031249
55619,"Myotis escalerai","male",42.1967240258145,0.867738001763608,39.7,39.7,1,1,39.5,27.2182373046875,1599.21557617188,-1.74699707031249
55619,"Plecotus austriacus","female",42.1967240258145,0.867738001763608,42.5,42.5,3,3,40,27.2182373046875,1599.21557617188,-1.74699707031249
55619,"Plecotus austriacus","male",42.1967240258145,0.867738001763608,39.4,39.4,2,2,40,27.2182373046875,1599.21557617188,-1.74699707031249
55619,"Rhinolophus euryale","female",42.1967240258145,0.867738001763608,47.7,47.7,2,2,46,27.2182373046875,1599.21557617188,-1.74699707031249
55625,"Eptesicus serotinus","male",42.2871257942431,1.52471736237006,52.9,52.9,1,1,53,21.2265869140625,2448.51489257812,-6.14736328124997
55625,"Hypsugo savii","male",42.2871257942431,1.52471736237006,33.3,33.3,11,11,34.5,21.2265869140625,2448.51489257812,-6.14736328124997
55625,"Pipistrellus pipistrellus","male",42.2871257942431,1.52471736237006,30.9,30.9,1,1,30.5,21.2265869140625,2448.51489257812,-6.14736328124997
55625,"Rhinolophus hipposideros","male",42.2871257942431,1.52471736237006,37.9,37.9,1,1,37,21.2265869140625,2448.51489257812,-6.14736328124997
55626,"Hypsugo savii","female",42.3015382497689,1.6344373114803,34.02,34.02,5,5,34.5,20.5585205078125,2321.13037109375,-6.73391113281247
55626,"Hypsugo savii","male",42.3015382497689,1.6344373114803,33.5424242424242,33.5424242424242,33,33,34.5,20.5585205078125,2321.13037109375,-6.73391113281247
55626,"Pipistrellus kuhlii","female",42.3015382497689,1.6344373114803,33.3,33.3,2,2,33.8,20.5585205078125,2321.13037109375,-6.73391113281247
55626,"Pipistrellus kuhlii","male",42.3015382497689,1.6344373114803,34.04,34.04,5,5,33.8,20.5585205078125,2321.13037109375,-6.73391113281247
55626,"Pipistrellus pipistrellus","female",42.3015382497689,1.6344373114803,31.15,31.15,4,4,30.5,20.5585205078125,2321.13037109375,-6.73391113281247
55626,"Pipistrellus pipistrellus","male",42.3015382497689,1.6344373114803,30.7,30.7,4,4,30.5,20.5585205078125,2321.13037109375,-6.73391113281247
55627,"Barbastella barbastellus","male",42.3157633634486,1.74421909025951,38.5,38.5,1,1,39,20.9205322265625,2261.12182617188,-6.37492675781249
55627,"Hypsugo savii","male",42.3157633634486,1.74421909025951,34.66,34.66,5,5,34.5,20.9205322265625,2261.12182617188,-6.37492675781249
55627,"Myotis mystacinus","male",42.3157633634486,1.74421909025951,34,34,1,1,34,20.9205322265625,2261.12182617188,-6.37492675781249
55627,"Pipistrellus kuhlii","female",42.3157633634486,1.74421909025951,34,34,1,1,33.8,20.9205322265625,2261.12182617188,-6.37492675781249
55627,"Pipistrellus pipistrellus","female",42.3157633634486,1.74421909025951,31.6333333333333,31.6333333333333,3,3,30.5,20.9205322265625,2261.12182617188,-6.37492675781249
55627,"Pipistrellus pipistrellus","male",42.3157633634486,1.74421909025951,30.9875,30.9875,8,8,30.5,20.9205322265625,2261.12182617188,-6.37492675781249
55627,"Plecotus auritus","male",42.3157633634486,1.74421909025951,40.7,40.7,1,1,39,20.9205322265625,2261.12182617188,-6.37492675781249
55628,"Barbastella barbastellus","female",42.3298010109943,1.85406194420547,40.1,40.1,1,1,39,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Barbastella barbastellus","male",42.3298010109943,1.85406194420547,39.2333333333333,39.2333333333333,3,3,39,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Eptesicus serotinus","male",42.3298010109943,1.85406194420547,52.65,52.65,2,2,53,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Hypsugo savii","female",42.3298010109943,1.85406194420547,35.4333333333333,35.4333333333333,3,3,34.5,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Hypsugo savii","male",42.3298010109943,1.85406194420547,33.9837837837838,33.9837837837838,37,37,34.5,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Myotis crypticus","male",42.3298010109943,1.85406194420547,40.2625,40.2625,8,8,39.3,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Myotis emarginatus","male",42.3298010109943,1.85406194420547,39.6,39.6,1,1,40.4,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Myotis escalerai","female",42.3298010109943,1.85406194420547,39.7,39.7,1,1,39.5,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Myotis escalerai","male",42.3298010109943,1.85406194420547,39.75,39.75,4,4,39.5,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Myotis mystacinus","female",42.3298010109943,1.85406194420547,34.7,34.7,1,1,34,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Myotis mystacinus","male",42.3298010109943,1.85406194420547,34.3,34.3,3,3,34,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Pipistrellus kuhlii","female",42.3298010109943,1.85406194420547,33.1,33.1,2,2,33.8,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Pipistrellus kuhlii","male",42.3298010109943,1.85406194420547,33.3,33.3,1,1,33.8,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Pipistrellus pipistrellus","male",42.3298010109943,1.85406194420547,30.7117647058824,30.7117647058824,34,34,30.5,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Plecotus auritus","female",42.3298010109943,1.85406194420547,39.65,39.65,2,2,39,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Plecotus auritus","male",42.3298010109943,1.85406194420547,40.45,40.45,2,2,39,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Plecotus austriacus","male",42.3298010109943,1.85406194420547,40.5,40.5,1,1,40,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Rhinolophus ferrumequinum","female",42.3298010109943,1.85406194420547,57.6,57.6,1,1,58.4,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Rhinolophus hipposideros","female",42.3298010109943,1.85406194420547,37.6,37.6,1,1,37,21.825830078125,2281.04345703125,-5.22272949218745
55628,"Rhinolophus hipposideros","male",42.3298010109943,1.85406194420547,37.25,37.25,6,6,37,21.825830078125,2281.04345703125,-5.22272949218745
55629,"Hypsugo savii","male",42.3436510695974,1.96396511621613,33.44,33.44,10,10,34.5,20.533447265625,2647.02685546875,-6.15791015624995
55629,"Pipistrellus kuhlii","female",42.3436510695974,1.96396511621613,36.2,36.2,1,1,33.8,20.533447265625,2647.02685546875,-6.15791015624995
55629,"Plecotus austriacus","female",42.3436510695974,1.96396511621613,42.5,42.5,1,1,40,20.533447265625,2647.02685546875,-6.15791015624995
55630,"Barbastella barbastellus","female",42.3573134179146,2.07392784660631,40.1285714285714,40.1285714285714,7,7,39,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Barbastella barbastellus","male",42.3573134179146,2.07392784660631,39.04,39.04,10,10,39,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Myotis bechsteinii","male",42.3573134179146,2.07392784660631,42.1,42.1,1,1,43,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Myotis crypticus","male",42.3573134179146,2.07392784660631,40.7666666666667,40.7666666666667,3,3,39.3,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Myotis emarginatus","female",42.3573134179146,2.07392784660631,41.25,41.25,2,2,40.4,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Myotis emarginatus","male",42.3573134179146,2.07392784660631,39.45,39.45,4,4,40.4,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Myotis mystacinus","male",42.3573134179146,2.07392784660631,34.4,34.4,1,1,34,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Pipistrellus pipistrellus","female",42.3573134179146,2.07392784660631,30.3,30.3,1,1,30.5,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Rhinolophus hipposideros","female",42.3573134179146,2.07392784660631,37.9333333333333,37.9333333333333,6,6,37,19.4562744140625,2967.24145507812,-6.89670410156248
55630,"Rhinolophus hipposideros","male",42.3573134179146,2.07392784660631,38.4,38.4,1,1,37,19.4562744140625,2967.24145507812,-6.89670410156248
55631,"Barbastella barbastellus","female",42.370787936094,2.18394937303027,40.9,40.9,1,1,39,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Barbastella barbastellus","male",42.370787936094,2.18394937303027,39.9,39.9,1,1,39,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Eptesicus serotinus","male",42.370787936094,2.18394937303027,52.1,52.1,1,1,53,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Hypsugo savii","male",42.370787936094,2.18394937303027,34.1333333333333,34.1333333333333,3,3,34.5,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Myotis crypticus","female",42.370787936094,2.18394937303027,40.425,40.425,8,8,39.3,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Myotis crypticus","male",42.370787936094,2.18394937303027,39.5,39.5,4,4,39.3,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Pipistrellus kuhlii","male",42.370787936094,2.18394937303027,34.8,34.8,1,1,33.8,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Pipistrellus pipistrellus","female",42.370787936094,2.18394937303027,33.3,33.3,1,1,30.5,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Pipistrellus pipistrellus","male",42.370787936094,2.18394937303027,30.12,30.12,5,5,30.5,18.5043701171875,3149.60375976562,-7.44101562499998
