"pred","se","ci.lb","ci.ub","pi.lb","pi.ub","X.intrcpt","X.log10.bm.","cor","cor_ci.lb","cor_ci.ub"
-0.280503725304764,0.153169606674225,-0.580710637912411,0.0197031873028841,-0.849222003228426,0.288214552618899,1,0.674698431466243,-0.273371225706169,-0.523181744276865,0.0197006380039272
-0.280517036559542,0.152888378362613,-0.580172751804996,0.0191386786859121,-0.848944549041393,0.287910475922309,1,0.676441851334718,-0.273383542141739,-0.522790977962149,0.0191363422656018
-0.280530294591569,0.152609357849476,-0.579639139680328,0.0185785504971899,-0.84866970572001,0.287609116536872,1,0.678178300440159,-0.273395809243065,-0.522403099415527,0.0185764132523839
-0.280543499824754,0.152332529150066,-0.579109770632781,0.0180227709832734,-0.848397448768716,0.287310449119209,1,0.679907834303432,-0.273408027403439,-0.522018091391283,0.0180208198496443
-0.280556652677962,0.152057876453655,-0.578584614092766,0.0174713087368429,-0.848127753996646,0.287014448640723,1,0.681630507784711,-0.273420197011465,-0.521635936795744,0.0174695312678373
-0.280569753565093,0.151785384120698,-0.578063639821238,0.0169241326910526,-0.847860597512732,0.286721090382547,1,0.683346375093925,-0.273432318451141,-0.521256618684979,0.0169225170374404
-0.280582802895161,0.151515036680045,-0.577546817904315,0.0163812121139931,-0.847595955720911,0.286430349930589,1,0.685055489800986,-0.273444392101928,-0.520880120262535,0.0163797470039908
-0.28059580107237,0.151246818826216,-0.577034118748007,0.0158425166032666,-0.847333805315427,0.286142203170686,1,0.68675790484583,-0.273456418338823,-0.520506424877226,0.0158411913232186
-0.28060874849619,0.150980715416719,-0.57652551307305,0.0153080160806698,-0.847074123276217,0.285856626283838,1,0.688453672548257,-0.273468397532427,-0.520135516020952,0.0153068204562729
-0.280621645561427,0.150716711469437,-0.576020971909838,0.0147776807869836,-0.846816886864403,0.285573595741549,1,0.690142844617574,-0.273480330049013,-0.519767377326567,0.0147766051650394
-0.280634492658301,0.150454792160055,-0.575520466593468,0.014251481276866,-0.846562073617855,0.285293088301253,1,0.691825472162061,-0.273492216250595,-0.519401992565791,0.0142505165075475
-0.280647290172512,0.150194942819544,-0.575023968758871,0.0137293884138464,-0.846309661346852,0.285015081001828,1,0.693501605698246,-0.273504056494995,-0.51903934564715,0.0137285258334646
-0.280660038485313,0.149937148931691,-0.574531450336046,0.0132113733654197,-0.846059628129826,0.2847395511592,1,0.695171295160011,-0.273515851135902,-0.518679420613965,0.0132106047796762
-0.280672737973575,0.149681396130683,-0.574042883545386,0.0126974075982357,-0.845811952309181,0.284466476362031,1,0.696834589907508,-0.273527600522941,-0.518322201642371,0.0126967252659489
-0.280685389009857,0.149427670198731,-0.573558240893099,0.012187462873385,-0.845566612487203,0.28419583446749,1,0.698491538735925,-0.273539305001732,-0.517967673039384,0.0121868594906765
-0.280697991962468,0.14917595706375,-0.573077495166711,0.011681511241775,-0.845323587522039,0.283927603597103,1,0.70014218988407,-0.273550964913954,-0.517615819240989,0.0116809799267045
-0.280710547195535,0.148926242797074,-0.572600619430668,0.0111795250395985,-0.845082856523758,0.283661762132689,1,0.701786591042797,-0.273562580597398,-0.51726662481028,0.0111790593172345
-0.280723055069063,0.148678513611227,-0.572127587022015,0.0106814768838895,-0.844844398850487,0.283398288712361,1,0.703424789363278,-0.273574152386035,-0.51692007443562,0.0106810706718038
-0.280735515939,0.148432755857723,-0.571658371546165,0.0101873396681645,-0.844608194104619,0.283137162226619,1,0.70505683146511,-0.273585680610065,-0.516576152928846,0.0101869872623405
-0.280747930157295,0.148188956024926,-0.571192946872741,0.00969708655815038,-0.844374222129091,0.282878361814501,1,0.706682763444281,-0.273597165595981,-0.516234845223501,0.00969678261929263
-0.28076029807196,0.147947100735935,-0.570731287131512,0.0092106909875927,-0.844142463003736,0.282621866859817,1,0.708302630880976,-0.273608607666615,-0.515896136373103,0.00921043052782753
-0.280772620027124,0.14770717674652,-0.570273366708395,0.00872812665414624,-0.843912897041701,0.282367656987452,1,0.70991647884725,-0.273620007141204,-0.515560011549442,0.00872790502410325
-0.280784896363099,0.147469170943093,-0.569819160241542,0.00824936751534316,-0.843685504785931,0.282115712059732,1,0.71152435191455,-0.273631364335433,-0.515226456040912,0.00824918039160701
-0.280797127416427,0.147233070340722,-0.569368642617494,0.00777438778463957,-0.84346026700572,0.281866012172865,1,0.7131262941611,-0.273642679561492,-0.514895455250871,0.00777423115756235
-0.280809313519941,0.146998862081177,-0.568921788967419,0.00730316192753661,-0.843237164693329,0.281618537653446,1,0.714722349179153,-0.27365395312813,-0.514566994696033,0.00730303208940119
-0.280821455002819,0.146766533431021,-0.568478574663413,0.00683566465777613,-0.843016179060658,0.281373269055021,1,0.716312560082111,-0.273665185340698,-0.514241060004889,0.0068355581913011
-0.280833552190633,0.146536071779727,-0.568038975314874,0.00637187093360841,-0.842797291535989,0.281130187154723,1,0.717896969511509,-0.273676376501208,-0.513917636916157,0.00637178470078554
-0.280845605405408,0.146307464637842,-0.567602966764946,0.00591175595412968,-0.842580483760781,0.280889272949964,1,0.719475619643878,-0.273687526908371,-0.513596711277257,0.00591168708538507
-0.280857614965669,0.146080699635177,-0.567170525087029,0.00545529515569071,-0.842365737586529,0.280650507655191,1,0.72104855219748,-0.273698636857656,-0.513278269042824,0.00545524103936103
-0.280869581186492,0.145855764519035,-0.566741626581355,0.00500246420837103,-0.842153035071677,0.280413872698694,1,0.722615808438925,-0.273709706641328,-0.512962296273232,0.00500242248048647
